Drug name,TKO
QL-XI-92,experimental
OSI-930,in clinical development
Parthenolide,in clinical development
BMS-536924,experimental
GSK690693,experimental
AZD6244,in clinical development
TGX221,experimental
XMD8-85,experimental
KIN001-244,experimental
CCT018159,experimental
TL-2-105,experimental
Masitinib,clinically approved
SB590885,experimental
XMD13-2,experimental
PHA-665752,experimental
KIN001-260,experimental
Salubrinal,experimental
Tamoxifen,clinically approved
Pazopanib,in clinical development
CHIR-99021,experimental
EHT_1864,experimental
BIX02189,experimental
GNF-2,experimental
JNJ-26854165,in clinical development
Y-39983,experimental
HG-5-88-01,experimental
MP470,in clinical development
Bexarotene,clinically approved
AMG-706,in clinical development
Bleomycin_(50_uM),clinically approved
VNLG/124,experimental
AG-014699,experimental
Dabrafenib,clinically approved
Vismodegib,in clinical development
QL-XII-61,experimental
Tubastatin_A,experimental
ATRA,clinically approved
Olaparib_(rescreen),clinically approved
T0901317,experimental
TAK-715,in clinical development
BMS-708163,in clinical development
PLX4720_(rescreen),experimental
PF-4708671,experimental
Lenalidomide,clinically approved
CH5424802,in clinical development
XMD8-92,experimental
RO-3306,experimental
CAL-101,clinically approved
KU-55933,experimental
XMD14-99,experimental
SB-505124,experimental
CCT007093,experimental
Nutlin-3a,in clinical development
XMD11-85h,experimental
IPA-3,experimental
SB_216763,experimental
Afatinib_(rescreen),clinically approved
SL_0101-1,experimental
ABT-888,in clinical development
JNK_Inhibitor_VIII,experimental
KIN001-135,experimental
XMD15-27,experimental
KIN001-055,experimental
STF-62247,experimental
PLX4720,clinically approved
Ruxolitinib,clinically approved
KIN001-236,experimental
SB52334,experimental
Cyclopamine,experimental
FR-180204,experimental
KIN001-270,experimental
CP724714,in clinical development
BIRB_0796,experimental
Pyrimethamine,clinically approved
GSK429286A,experimental
WZ-1-84,experimental
Roscovitine,in clinical development
BMS-708163,in clinical development
Bicalutamide,clinically approved
Temozolomide,clinically approved
EX-527,experimental
LFM-A13,experimental
GW-2580,experimental
FMK,experimental
NSC-87877,experimental
"Zibotentan,_ZD4054",in clinical development
Phenformin,experimental
Cetuximab,clinically approved
DMOG,experimental
AICAR,in clinical development
